HouseHoldNumber,Year,Age,Education,Marriage,Work Type,Number of People in a Household,House Type,House Size,Living Type,Savings,Deposit,Living House Price,Nonliving House Price,Housing Credit Loan,Living House Credit Loan,Credit Loan,Income,Income 2,Transfer Income,Region,Income Level,Weight
870200321,2015,58,4,2,3,3,2,85,1,10070,0,13000,6000,0,0,0,5700,0,0,A0402,A1904,2378.362241
870200331,2015,53,4,2,7,4,1,116,1,51283,0,15000,0,0,0,0,8500,0,0,A0402,A1905,2142.936229
870200341,2015,58,2,2,9,2,3,60,1,1933,0,3500,0,0,0,0,2600,0,0,A0402,A1902,2478.895312
870200371,2015,46,4,2,8,5,2,85,1,15427,0,25000,0,0,0,0,8580,0,0,A0402,A1905,2338.530903
870200381,2015,66,3,2,9,2,1,137,1,210,0,13000,0,0,0,0,1440,0,587,A0402,A1902,1930.01069
870201381,2015,39,7,2,6,5,1,82,1,2410,0,17500,120000,88000,0,10000,0,20000,180,A0402,A1905,2482.794552
870201391,2015,77,2,2,6,2,1,66,1,3200,0,10000,15000,0,0,0,0,1500,406,A0402,A1902,1931.919846
870505371,2015,59,2,2,9,4,2,102,1,4454,0,14500,11000,0,0,300,10500,0,0,A0402,A1905,2089.249494
870505381,2015,39,4,1,9,1,3,66,1,7166,0,5200,22000,16000,0,1250,1800,0,0,A0402,A1902,1442.7499
870505391,2015,42,6,2,,4,3,66,2,310,6000,0,0,0,0,0,6750,0,0,A0402,A1904,2089.249494
871200321,2015,35,6,2,2,4,2,168,1,13893,0,17000,0,0,0,0,6400,0,0,A0402,A1904,867.4455335
871201371,2015,59,2,3,6,2,1,151,1,8241,0,4500,1000,0,0,0,2400,0,15,A0402,A1902,2150.038662
871505371,2015,74,4,2,,2,1,66,1,6530,0,6000,3200,0,0,0,0,0,452,A0402,A1901,1785.234488
871505391,2015,58,2,2,9,2,2,85,1,1828,0,12000,0,0,0,0,1200,0,0,A0402,A1901,1705.056624
872200361,2015,46,4,2,9,4,2,60,1,2490,0,6500,0,2800,2800,4800,4300,0,0,A0402,A1903,3149.268085
872505301,2015,32,6,2,5,3,2,85,1,2356,0,12000,0,0,0,0,0,2400,205,A0402,A1902,1923.161623
873200361,2015,59,7,2,2,3,2,155,1,9422,0,20000,10000,0,0,2580,12420,0,0,A0402,A1905,823.4389715
873505391,2015,29,5,2,7,2,2,78,1,6820,0,16000,0,5000,5000,2000,9900,0,0,A0402,A1905,1705.056624
